,CAPE,CAPE_Tv,CIN,CIN_Tv,Date,Station,Time
156,0.0,0.0,0.0,0.0,1992-01-02,MAF,12
157,0.0,0.0,0.0,0.0,1992-01-02,MFR,12
158,0.0,0.0,-545.5905118283581,-533.0510723034275,1992-01-02,NKX,12
159,0.0,0.0,0.0,0.0,1992-01-02,OAK,12
160,0.0,0.0,0.0,0.0,1992-01-02,OUN,12
161,0.0,0.0,0.0,0.0,1992-01-02,PIT,12
162,0.0,0.0,0.0,0.0,1992-01-02,RAP,12
163,0.0,0.0,-0.5424214597079668,0.0,1992-01-02,SLC,12
164,0.0,0.0,0.0,0.0,1992-01-02,TBW,12
165,0.0,0.0,0.0,0.0,1992-01-02,TOP,12
166,0.0,0.0,-210.1970559958521,-198.38937822659352,1992-01-02,TUS,12
167,216.7227651290626,263.3315240211586,-5.051582533655377,0.0,1992-01-02,UIL,12
168,0.0,0.0,-16.75352866751057,-13.10416360168345,1992-01-02,WAL,12
169,0.0,0.0,0.0,0.0,1992-01-02,WMW,12
170,0.3882167100724862,0.0,-3.1603208557094535,0.0,1992-01-02,WPL,12
171,0.0,0.0,0.0,0.0,1992-01-02,YMO,12
172,0.0,0.0,0.0,0.0,1992-01-02,YQI,12
173,0.0,0.0,0.0,0.0,1992-01-03,ABQ,0
174,0.0,0.0,0.0,0.0,1992-01-03,ALB,0
175,0.0,0.0,-543.4521272580209,-533.1916469685947,1992-01-03,AMA,0
176,0.0,0.0,0.0,0.0,1992-01-03,BIS,0
177,0.0,0.0,0.0,0.0,1992-01-03,BNA,0
178,0.0,0.0,0.0,0.0,1992-01-03,BOI,0
179,0.0,0.0,0.0,0.0,1992-01-03,BRO,0
180,0.0,0.0,0.0,0.0,1992-01-03,BUF,0
181,0.0,0.0,0.0,0.0,1992-01-03,CAR,0
182,0.0,0.0,-17.885279131051842,-10.725497831360995,1992-01-03,CHH,0
183,0.0,0.0,0.0,0.0,1992-01-03,CHS,0
184,0.0,0.0,0.0,0.0,1992-01-03,CRP,0
185,0.0,0.0,0.0,0.0,1992-01-03,DDC,0
186,0.0,0.0,0.0,0.0,1992-01-03,DNR,0
187,0.0,0.0,0.0,0.0,1992-01-03,DRT,0
188,0.0,0.0,0.0,0.0,1992-01-03,GGW,0
189,0.0,0.0,0.0,0.0,1992-01-03,GJT,0
190,0.0,0.0,-2.3924645482067786,-1.2658418900983053,1992-01-03,GRB,0
191,0.0,0.0,0.0,0.0,1992-01-03,GSO,0
192,0.0,0.0,0.0,0.0,1992-01-03,IAD,0
193,0.0,0.0,0.0,0.0,1992-01-03,INL,0
194,0.0,0.0,0.0,0.0,1992-01-03,JAN,0
195,0.0,0.0,0.0,0.0,1992-01-03,LBF,0
